Creator,Title,Date,Genre,Format,Repository,Rights,Repository2,Identifier
Carpenters,Close to You ,1970-08-19,"Rock, Folk ",Vinyl Record,This item is Olivia's.,"A&M Records, Inc. ",Olivia's Apartment,OMB01.BPMC.1.1.OA.15
Chicago ,Chicago VI ,1973-06-25,Rock ,Vinyl Record,This item is Olivia's.,American Bank Note Company,Olivia's Apartment,OMB01.BPMC.1.1.OA.10
Eliza McLamb,Going Through It,2024-01-19,"Alternative, Indie ",CD,This item is Olivia's.,Royal Mountain Records ,Olivia's Apartment,OMB01.BPMC.1.1.OA.09
Feeble Little Horse,Girl with Fish ,2023-06-09,"Indie Pop, Shoegaze, Alternative ",CD,This item is Olivia's.,Saddle Creek ,Olivia's Apartment,OMB01.BPMC.1.1.OA.08
Foo Fighters,The Colour and the Shape,1997-05-20,"Alternative Rock, Post-Grunge",CD,This item is Olivia's.,"Roswell Records, Inc. ",Olivia's Apartment,OMB01.BPMC.1.1.OA.07
Foo Fighters ,In Your Honor,2005-06-14,"Alternative Rock, Post-Grunge",CD,This item is Olivia's.,"Roswell Records, Inc. ",Olivia's Apartment,OMB01.BPMC.1.1.OA.18
Chicago ,Greatest Hits 1982-1989,1989-11-21,Rock ,Cassette Tape ,This item is Marc's.,Happenstance Ltd.,Olivia's Apartment,OMB01.BPMC.2.1.MH.02
Harry Styles ,Harry's House,2022-05-20,"Pop, Funk ",CD,This item is Olivia's.,Erskine Records Limited ,Olivia's Apartment,OMB01.BPMC.1.1.OA.06
Hot Tuna,Steady as She Goes,2011-04-05,"Blues, Folk ",CD,This item is Olivia's.,"Red House Records, Inc. ",Olivia's Apartment,OMB01.BPMC.1.1.OA.05
Lionel Richie,Can't Slow Down,1983-10-14,"Contemporary R&B, Dance Pop",Cassette Tape,This item is Marc's.,Motown Record Company,Marc's House,OMB01.BPMC.2.1.MH.01
Lionel Richie ,Can't Slow Down,1983-10-14,"Contemporary R&B, Dance Pop",Vinyl Record,This item is Olivia's.,Motown Record Company,Olivia's Apartment,OMB01.BPMC.1.1.OA.14
Luscious Jackson,Natural Ingredients,1994-08-23,Alternative Rock ,CD,This item is Olivia's.,Grand Royale ,Olivia's Apartment,OMB01.BPMC.1.1.OA.04
Panic! At the Disco,A Fever You Can't Sweat Out ,2005-09-27,"Emo, Pop-Punk, Alternative, Baroque Pop",CD,This item is Olivia's.,"Fueled by Ramen, Inc. ",Olivia's Apartment,OMB01.BPMC.1.1.OA.03
Paramore,Riot!,2007-06-11,"Emo, Pop-Punk, Alternative ",CD,This item is Olivia's.,Atlantic Recording Corporation ,Olivia's Apartment,OMB01.BPMC.1.1.OA.02
Paul McCartney,McCartney,1970-04-17,Lo-fi,Vinyl Record,This item is Olivia's.,unknown,Olivia's Apartment,OMB01.BPMC.1.1.OA.12
Professor Peter Schickele,The Wurst of P.D.Q. Bach with Professor Peter Schickele,1971-00-00,"Comedy, Classical Music, Baroque ",Vinyl Record,This item is Olivia's.,"Vanguard Recording Society, Inc.",Olivia's Apartment,OMB01.BPMC.1.1.OA.11
Simon & Garfunkel,Sounds of Silence ,1965-09-12,Folk Rock ,Vinyl Record,This item is Olivia's.,Eclectic Music Co. ,Olivia's Apartment,OMB01.BPMC.1.1.OA.13
Steve Martin ,"""A Wild and Crazy Guy"" ",1978-00-00,Comedy,Vinyl Record,This item is Olivia's.,Warner Bros. Records Records Inc. ,Olivia's Apartment,OMB01.BPMC.1.1.OA.17
Stevie Nicks,Bella Dona,1981-07-27,Rock,Vinyl Record,This item is Olivia's.,Rhino Entertainment Company,Olivia's Apartment,OMB01.BPMC.1.1.OA.01
The London Studio Group Directed by Reg Wale ,Loony Tunes' Music-De Wolfe,1969-00-00,"Comedy, Children's Cartoon Music, Orchestral Music",Vinyl Record,This item is Olivia's.,unknown,Olivia's Apartment,OMB01.BPMC.1.1.OA.16
"Cheech y Chong, Cheech and Chong",Los Chochinos,1973-08-00,"Comedy, Folk Rock ",Vinyl Record,This item is Marc's.,Ode Records Inc. ,Marc's House,OMB01.BPMC.2.1.MH.03
"""Fat Louie"" Szykowski & His Five Polish Slobs",Pennsylvania Polka,1980-00-00,"Polka, Polish-American Polka ",Cassette Tape,This item is Olivia's.,Michele Audio Corp. ,Marc's House,OMB01.BPMC.2.1.MH.04
Tiffany ,Tiffany,1987-06-27,"Pop, Electronic ",Cassette Tape,This item is Marc's.,"MCA Records, Inc. ",Marc's House,OMB01.BPMC.2.1.MH.05
Cyndi Lauper ,True Colors,1986-09-15,"Pop, Rock, Electronic ",Cassette Tape,This item is Marc's.,CBS Records Inc. ,Marc's House,OMB01.BPMC.2.1.MH.06
The Bangles ,Eveything ,1988-10-18,Pop-rock,Cassette Tape,This item is Marc's.,CBS Records Inc. ,Marc's House,OMB01.BPMC.2.1.MH.07
Genesis,Invisible Touch,1986-06-06,"Pop-rock, Synth-pop",Cassette Tape,This item is Marc's.,"Gelring, Ltd. ",Marc's House,OMB01.BPMC.2.1.MH.08
Paula Abdul,Forever Your Girl ,1988-06-13,"Pop, Electronic, Dance-pop ",Cassette Tape,This item is Marc's.,"Virgin Records America, Inc. ",Marc's House,OMB01.BPMC.2.1.MH.09
"The Chicks, Dixie Chicks ",Fly,1999-08-31,"Country, Rock ",Cassette Tape,This item is Marc's.,"Sony Music Entertainment, Inc. ",Marc's House,OMB01.BPMC.2.1.MH.10
Elton John,Greatest Hits ,1974-11-08,"Rock, Pop-rock, Glam Rock ",Cassette Tape,This item is Marc's.,"MCA Records, Inc. ",Marc's House,OMB01.BPMC.2.1.MH.11
"Whitney Houston, Kenny G and Aaron Neville, Lisa Stansfield, The S.O.U.L. S.Y.S.T.E.M., Curtis Stigers, Joe Cocker featuring Sass Jordan",The Bodyguard Original Sountrack Album ,1992-11-16,"Pop, Soul, R&B, Movie Soundtrack",Cassette Tape,This item is Marc's.,"Artista Records, Inc. ",Marc's House,OMB01.BPMC.2.1.MH.12
